Team,Goal_From,Goal_Against,Goal_Diff,Home_Lose,Away_Lose,Total_Lose,Home_Draw,Away_Draw,Total_Draw,Home_Win,Away_Win,Total_Win,Points,Season
Sunderland,48,62,-14,4,7,11,4,2,6,11,10,21,69,2016
Swansea,42,52,-10,2,9,11,6,3,9,11,7,18,63,2016
Leicester,68,36,32,3,8,11,6,4,10,10,7,17,61,2016
West Brom,34,48,-14,4,9,13,3,4,7,12,6,18,61,2016
Everton,59,55,4,4,9,13,4,4,8,11,6,17,59,2016
Arsenal,65,36,29,5,8,13,2,7,9,12,4,16,57,2016
Liverpool,63,50,13,3,6,9,11,6,17,5,7,12,53,2016
Chelsea,59,53,6,7,6,13,5,6,11,7,7,14,53,2016
Bournemouth,45,67,-22,3,7,10,7,9,16,9,3,12,52,2016
Norwich,39,67,-28,7,7,14,3,7,10,9,5,14,52,2016
Tottenham,69,35,34,8,6,14,4,7,11,7,6,13,50,2016
West Ham,65,51,14,7,7,14,5,6,11,7,6,13,50,2016
Crystal Palace,39,51,-12,3,12,15,6,4,10,10,3,13,49,2016
Man City,71,41,30,7,8,15,7,4,11,5,7,12,47,2016
Man United,49,35,14,5,10,15,8,3,11,6,6,12,47,2016
Southampton,59,41,18,6,9,15,6,6,12,7,4,11,45,2016
Aston Villa,27,76,-49,4,10,14,6,8,14,9,1,10,44,2016
Watford,40,50,-10,6,10,16,6,6,12,7,3,10,42,2016
Newcastle,44,65,-21,10,8,18,4,6,10,5,5,10,40,2016
Stoke,41,55,-14,8,10,18,5,6,11,6,3,9,38,2016
